mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
OXTR,hsa-mir-338,0.756476899,2.05E-13,2.69E-11,-0.551146874,0.004296847,0.082191167,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.3904634483924528,0.5035705867496062
METTL8,hsa-mir-31,0.467899937,7.45E-05,0.001979238,-0.551128644,0.004298388,0.082203791,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8006877126133048,0.8368724603851131
C19orf57,hsa-mir-873,0.887000209,0,0,-0.713519654,6.22E-05,0.006279965,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.7817058795726655,0.9302266631592804
CLSPN,hsa-mir-1251,0.841452096,0,0,-0.54802557,0.004567647,0.084968335,targetprofiler-NO,targetscan-Yes,miRanda-NO,3.4213611373741406,0.036082091131735446
RB1,hsa-mir-26b,0.412987937,0.00056846,0.010747506,-0.53239729,0.006150156,0.099736618,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.5818168714919312,0.3835812740586469
STK19,hsa-mir-1271,0.568113403,6.51E-07,3.02E-05,-0.573771113,0.002709907,0.063640823,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.4940853184973818,0.3975005453593742
GDPD1,hsa-mir-195,0.348683597,0.004114687,0.049823235,-0.535362744,0.005818839,0.096829607,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.41799037391504607,0.2828659796341299
SNTA1,hsa-mir-642a,0.331408528,0.006563603,0.069711661,-0.634913185,0.00065086,0.027707215,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.81601392418973,2.3474006021598326
EEF1E1,hsa-mir-592,0.338848253,0.005384808,0.060472815,-0.566577405,0.003148741,0.06908223,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.40024101197987016,2.0579267405545716
ASCC1,hsa-mir-424,0.567579871,6.71E-07,3.11E-05,-0.646310012,0.000482252,0.023112593,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.4933332645666889,0.8452863242821164
CASP10,hsa-mir-204,0.666820869,9.80E-10,7.77E-08,-0.828685303,3.12E-07,0.000168119,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.3236611056562731,0.10297163414087614
HTRA1,hsa-mir-210,0.336452778,0.005742164,0.063301996,-0.588886779,0.001954723,0.052816063,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.42399813397982233,1.0501226304623892
C9orf3,hsa-mir-874,0.312987366,0.010504121,0.096804164,-0.695117568,0.000114972,0.009424147,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.7681873111029737,9.838382864820739
HNF4G,hsa-mir-31,0.441537653,0.000206298,0.004676072,-0.592869014,0.001788787,0.050217908,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.14764541522568708,0.8368724603851131
