mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
AKR1D1,hsa-mir-141,0.37511736,0.005646576,0.093947685,-0.782251491,0.00443635,0.090941903,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.3583225297676513,11.164863619194632
SMAD9,hsa-mir-381,0.985144293,0,0,-0.768880218,0.005681033,0.09879936,targetprofiler-Yes,targetscan-NO,miRanda-Yes,0.5894347745170212,1.9452237123030762
ARL10,hsa-mir-377,0.550866994,1.92E-05,0.001054089,-0.767211287,0.005852667,0.099803592,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9231099372562366,5.243638471976617
DCAF5,hsa-mir-376b,0.570168849,8.32E-06,0.000518064,-0.806448373,0.002710814,0.077241223,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.8991633316553026,10.471181519469365
SETBP1,hsa-mir-381,0.612767333,1.08E-06,8.94E-05,-0.850939409,0.000895759,0.053379604,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.2539196875153396,1.9452237123030762
PSMC6,hsa-mir-323,0.529881614,4.50E-05,0.002154203,-0.778583627,0.00475542,0.093079151,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.35909797589723,45.96965599141725
SLC25A46,hsa-mir-377,0.407034582,0.002488385,0.051888018,-0.774320033,0.005147228,0.095572868,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0076604988140294,5.243638471976617
SLC25A36,hsa-mir-141,0.483565889,0.00024439,0.008568456,-0.830940897,0.001531142,0.063940827,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.6327159242484728,11.164863619194632
MTX3,hsa-mir-381,0.462966965,0.000481734,0.014699318,-0.81299614,0.002345427,0.073624046,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.0417497795409003,1.9452237123030762
ZNF577,hsa-mir-29c,0.44837468,0.00075975,0.021020143,-0.801997214,0.002982294,0.079730328,targetprofiler-Yes,targetscan-NO,miRanda-Yes,1.0169613194571188,1.6016699507325232
AHI1,hsa-mir-381,0.620817334,7.07E-07,6.19E-05,-0.837598668,0.001290942,0.060387504,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.7862617099619407,1.9452237123030762
GOLGA7,hsa-mir-766,0.505721237,0.000112095,0.004567032,-0.775615032,0.0050258,0.094797471,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.1058010962361688,3.6520935354922974
MTMR7,hsa-mir-665,0.93278471,0,0,-0.853717094,0.000826527,0.051886935,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.8235506656714207,1.567323076045824
ARHGEF37,hsa-mir-27a,0.399249575,0.003061455,0.060446742,-0.768304941,0.005739771,0.099146868,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.2317623515295647,4.428616503660226
C12orf51,hsa-mir-381,0.573200969,7.26E-06,0.000461293,-0.795781242,0.003394561,0.083109081,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.706501330723239,1.9452237123030762
TRAPPC6B,hsa-mir-377,0.373155677,0.005923102,0.097132221,-0.812103553,0.002392938,0.074114812,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.9723226282925841,5.243638471976617
PTPN21,hsa-mir-30d,0.399657896,0.003028722,0.059970287,-0.776105629,0.004980354,0.094531465,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.3956344386749603,2.205593175581896
SRRM2,hsa-mir-381,0.521069199,6.33E-05,0.002854928,-0.862145247,0.00064094,0.047461525,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.8834204080821144,1.9452237123030762
PRPF39,hsa-mir-141,0.549255174,2.05E-05,0.001116292,-0.813327068,0.002327993,0.073433914,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.3764302172672542,11.164863619194632
ZNF614,hsa-mir-27b,0.434055727,0.001165439,0.02924225,-0.775863573,0.005002738,0.09466341,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.4719825458546623,1.6175228609937056
DYNC1I1,hsa-mir-381,0.450072725,0.000721265,0.020178122,-0.816376408,0.002171849,0.071704554,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.13750763045732556,1.9452237123030762
C11orf58,hsa-mir-382,0.497739059,0.000149353,0.005761887,-0.9146336,8.02E-05,0.021387692,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.8987308980738969,3.472132278915061
DHX57,hsa-mir-221,0.415335824,0.001984122,0.043785457,-0.818907592,0.002048286,0.070345839,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.4649842406423739,2.2774778051866083
ARHGAP5,hsa-mir-382,0.525981609,5.24E-05,0.002443624,-0.858465884,0.000717598,0.049387617,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8163421972991364,3.472132278915061
TWSG1,hsa-mir-3653,0.393922939,0.003518033,0.066881862,-0.770469913,0.005521017,0.097814398,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9112400506949339,7.456095851404333
AHI1,hsa-mir-106b,0.391922734,0.003704411,0.069436308,-0.793768405,0.003536691,0.08426388,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.7862617099619407,5.875647904035055
EIF2C3,hsa-mir-382,0.434479035,0.001151095,0.028967104,-0.77633594,0.004959124,0.094387518,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.0544938723559294,3.472132278915061
SOCS5,hsa-mir-221,0.382074269,0.004754852,0.083115626,-0.822471386,0.001883307,0.068422337,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7803204836540235,2.2774778051866083
RPRD1A,hsa-mir-382,0.509212792,9.86E-05,0.004115618,-0.898898476,0.000167783,0.029018829,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7822342671967879,3.472132278915061
ZNF519,hsa-mir-382,0.573895481,7.04E-06,0.000449072,-0.877951746,0.000379437,0.039351811,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8324914867460022,3.472132278915061
NEDD4,hsa-mir-3653,0.57803358,5.83E-06,0.000382314,-0.839886581,0.001215323,0.059166876,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9293765552878301,7.456095851404333
SOCS7,hsa-mir-382,0.603961428,1.68E-06,0.000131827,-0.848073894,0.000971666,0.054837756,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.1402974455677737,3.472132278915061
CERK,hsa-mir-382,0.731883134,4.78E-10,8.39E-08,-0.788408467,0.003936667,0.087343345,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.6921148543893526,3.472132278915061
RNGTT,hsa-mir-3653,0.405237225,0.002611487,0.053784603,-0.814831772,0.002249933,0.072578115,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.1882079037989894,7.456095851404333
BRPF3,hsa-mir-382,0.55654592,1.51E-05,0.000859119,-0.823366757,0.001843467,0.067968303,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.071987111071482,3.472132278915061
NECAB1,hsa-mir-199b,0.505232126,0.000114107,0.004633627,-0.804866772,0.002805076,0.078096053,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.11059910137036592,2.536794547710018
HBS1L,hsa-mir-382,0.536405663,3.47E-05,0.001736174,-0.804239213,0.002843146,0.078466134,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9815330536204777,3.472132278915061
JMY,hsa-mir-382,0.456337354,0.000594005,0.017332491,-0.907020062,0.000116501,0.025047737,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.5240403391429617,3.472132278915061
HBS1L,hsa-mir-3653,0.374587989,0.005720062,0.094805266,-0.854478163,0.000808283,0.051481821,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9815330536204777,7.456095851404333
TIPRL,hsa-mir-3653,0.535840354,3.55E-05,0.001769575,-0.814467735,0.002268636,0.072785241,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.2577126816349435,7.456095851404333
CCDC50,hsa-mir-221,0.378164679,0.005239407,0.089092791,-0.828803359,0.001614923,0.065098508,targetprofiler-Yes,targetscan-Yes,miRanda-Yes,0.5187189188760636,2.2774778051866083
SNAPC3,hsa-mir-377,0.388290836,0.004065182,0.074290335,-0.785609534,0.004158356,0.08898057,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9853082131689961,5.243638471976617
RSF1,hsa-mir-382,0.428700957,0.001361233,0.032919134,-0.817904366,0.002096615,0.070906402,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.9271552449161204,3.472132278915061
