mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
CPEB3,hsa-mir-410,-0.13097501,0.00404761,0.024205823,0.462416383,0.001576298,0.036949912,targetprofiler-NO,targetscan-Yes,miRanda-Yes,0.29121523091564233,0.2946951292438931
ABLIM3,hsa-mir-1291,-0.106738367,0.019329849,0.079389616,0.469434788,0.001305947,0.032643558,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.3846036042192938,1.4733304293538352
GPR39,hsa-mir-141,-0.120531963,0.008205854,0.041630554,0.399085072,0.007284962,0.096345106,targetprofiler-Yes,targetscan-NO,miRanda-NO,4.664505158160547,1.711589034246851
PNPLA7,hsa-mir-27b,0.124854217,0.00616244,0.033475379,-0.444016985,0.002534401,0.050103654,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.20126350604911666,0.6387395768402246
ZFPL1,hsa-mir-100,0.129541842,0.004473242,0.026154857,-0.433916587,0.003253593,0.058723656,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.2720015976785262,0.3425549639420402
DCN,hsa-mir-378,-0.107594192,0.018375078,0.076475915,0.438555285,0.002903653,0.054656783,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.6047476078796418,0.3047417390058125
PHF12,hsa-mir-25,0.216406618,1.70E-06,4.04E-05,-0.522299509,0.000276245,0.01142213,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.21162191688196,1.8292872712418002
DNAJC9,hsa-mir-30d,0.175708605,0.000108974,0.00133023,-0.463509101,0.00153119,0.036267116,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.6600861945281313,0.8102884862034182
FZD5,hsa-mir-378,0.24181579,8.14E-08,2.93E-06,-0.41508701,0.00508278,0.077353938,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.027705683644168,0.3047417390058125
WDR37,hsa-mir-487a,-0.102584168,0.024603121,0.09476032,0.490089657,0.000733121,0.022280253,targetprofiler-NO,targetscan-Yes,miRanda-Yes,0.8638127682184011,0.7692310038798872
ATP5B,hsa-mir-200c,0.1734108,0.000134375,0.001580155,-0.427983845,0.003754749,0.064253575,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.6681951332654079,1.534260772762252
MGA,hsa-mir-25,0.244026039,6.15E-08,2.30E-06,-0.495958325,0.000618047,0.019850267,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.102375171188068,1.8292872712418002
PC,hsa-mir-625,-0.140926626,0.001968425,0.013779501,0.539152794,0.000159266,0.007796303,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.4260997905826602,1.0899779542328898
BSDC1,hsa-mir-625,-0.15197307,0.000836873,0.006975995,0.584374544,3.11E-05,0.00243998,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.037676615026177,1.0899779542328898
NRARP,hsa-let-7i,-0.165119497,0.000280014,0.002880729,0.547679219,0.000119185,0.006375099,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.2409741653204898,1.2066772797649545
ZMYM6,hsa-mir-944,-0.155337856,0.000637448,0.005606389,0.459820301,0.001688225,0.038584746,targetprofiler-NO,targetscan-Yes,miRanda-Yes,0.9987304196949106,2.87176017818961
NACAP1,hsa-mir-3127,0.111023173,0.01495032,0.065518064,-0.523158827,0.000268783,0.011203503,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.7560165669213876,1.7476453072245606
ZNF461,hsa-mir-150,0.156939428,0.000558905,0.005043705,-0.406938375,0.006118381,0.086652048,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8358231656975378,1.1709859241553229
RAB43,hsa-mir-141,-0.125072501,0.006072566,0.033106706,0.528356897,0.000227392,0.009989373,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.4132109553114671,1.711589034246851
NDUFS1,hsa-mir-659,0.116175776,0.010856729,0.051508154,-0.424303592,0.004098526,0.067757341,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.496833434522155,1.279694776622551
FBLIM1,hsa-mir-548s,-0.138522232,0.002352995,0.015855418,0.445535942,0.002439359,0.048894328,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.0791595041476034,1.951359994720553
BAIAP2L1,hsa-mir-2110,-0.136651101,0.002698435,0.017654608,0.542175875,0.000143837,0.007257851,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.518693358766635,1.0303565360233027
