mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
PDE10A,hsa-mir-372,0.177875323,0.00232226,0.019250913,-0.526292558,0.001974291,0.034490375,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.3590075948116035,0.8991642166579353
TXNIP,hsa-mir-17,-0.166310953,0.004445643,0.031172125,0.455201528,0.008849408,0.085541803,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.8774104673762997,1.608467635400364
ZNF420,hsa-mir-656,-0.138130949,0.018398139,0.087192788,0.475395776,0.005963626,0.067400882,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.6226924052967061,0.27123702644984726
DCK,hsa-mir-424,0.139270382,0.017447263,0.084009558,-0.581882644,0.000477007,0.014288605,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.00806878129292,0.2985217909255005
HIST1H2BK,hsa-mir-873,0.140995192,0.016089453,0.079271742,-0.469569814,0.006698835,0.072337848,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.049985830573722,0.5269892795262651
MARCH10,hsa-mir-664,-0.182454732,0.001776106,0.015733085,0.458303748,0.008341295,0.0825407,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.179912064,1.2399236141858918
PLEKHG1,hsa-mir-625,-0.183600929,0.001659195,0.014948182,0.492734501,0.004169088,0.054265872,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.5315780557176905,3.8096054316046253
BUB3,hsa-mir-888,0.154106421,0.008456182,0.049997685,-0.590596926,0.000372895,0.012225381,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.132209310159864,0.5230557424560502
ANKRD36,hsa-mir-500b,-0.166483904,0.004403952,0.030954157,0.452015388,0.009398323,0.088690904,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.8585181818316725,0.4248603541015599
ST18,hsa-mir-664,0.234523705,5.35E-05,0.001033677,-0.461065089,0.007910051,0.079931122,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.4252384014925315,1.2399236141858918
PFN1,hsa-mir-375,-0.140323066,0.016607167,0.081076846,0.615298675,0.00017834,0.007682908,targetprofiler-NO,targetscan-NO,miRanda-Yes,2.1209834675847916,0.7355035564707431
PHC2,hsa-mir-589,-0.165475101,0.004652189,0.032238761,0.483101207,0.005097965,0.06131028,targetprofiler-Yes,targetscan-Yes,miRanda-Yes,1.0764318028273592,2.3749655378420624
TPM1,hsa-mir-625,-0.153745529,0.008612869,0.050668921,0.722076488,3.08E-06,0.0005794,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.2381901841992269,3.8096054316046253
FIBIN,hsa-mir-106b,-0.193859444,0.000886245,0.009274519,0.523421793,0.002110963,0.035897722,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.9144938157202305,2.0927605305721597
ZNF749,hsa-mir-20b,0.365964658,1.19E-10,1.38E-08,-0.445221926,0.010665459,0.095629935,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.1798382281360422,0.7035155853774
CLN6,hsa-mir-17,0.182325356,0.001789765,0.015826155,-0.660047509,3.95E-05,0.00296876,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.455295730138523,1.608467635400364
TMEM184B,hsa-mir-664,-0.184922631,0.001533151,0.014084967,0.556178918,0.000948645,0.021911684,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9965083125354087,1.2399236141858918
