mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
RGL2,hsa-mir-140,-0.151487848,0.003489759,0.028268914,0.488174903,0.000322612,0.019824577,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.7475416771414456,1.4701072398454291
UBA6,hsa-mir-107,-0.225473268,1.19E-05,0.000297174,0.4354783,0.001573409,0.051209852,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.9930287964530483,1.2981419134625174
ZNF706,hsa-mir-651,-0.22477844,1.27E-05,0.000313312,0.438150861,0.001460561,0.049047611,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.849685392743112,0.956672738054901
ZNF740,hsa-mir-421,0.214136744,3.28E-05,0.000687614,-0.514754844,0.00013099,0.011103478,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.8873479501348458,1.9658939400232798
UNC119,hsa-mir-1296,0.161117639,0.001877168,0.017611897,-0.406554595,0.003392223,0.079264254,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.6151666533805844,0.8435445502696431
FBLN5,hsa-mir-942,-0.181774198,0.000441442,0.005690522,0.461026217,0.000753228,0.033180187,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.5422884104554613,1.6338040239564482
INSR,hsa-mir-379,-0.160030048,0.002016811,0.018613926,0.455461846,0.000888637,0.036637321,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9075076583999213,1.0004493009068252
GATA6,hsa-mir-496,-0.142388411,0.006076591,0.042895953,0.4698142,0.000576818,0.028337014,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.5886022461069453,2.6354787369753128
GIMAP6,hsa-mir-589,-0.193979089,0.000173788,0.002695164,0.496772052,0.000242974,0.016630363,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7155351466717749,2.5769410825048498
KIF21B,hsa-mir-216b,-0.146763492,0.004671826,0.03519839,0.602921672,3.59E-06,0.000926751,targetprofiler-NO,targetscan-Yes,miRanda-NO,3.1239297113282336,14.492461069587057
