mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
CGREF1,hsa-mir-141,0.155102639,0.004036854,0.040692732,-0.551405002,0.000333082,0.070945236,targetprofiler-Yes,targetscan-Yes,miRanda-NO,11.35681040253148,4.140526017254167
DLG2,hsa-mir-152,-0.154618431,0.004154559,0.041533393,0.57089426,0.00018191,0.049973277,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.6488022122670474,1.6028758526661289
TRDMT1,hsa-mir-377,0.214571192,6.33E-05,0.001748212,-0.54632121,0.00038766,0.077370578,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.5868215143952319,1.8179919347292466
NID2,hsa-mir-205,-0.313877682,2.96E-09,4.01E-07,0.582911431,0.000122885,0.039687225,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8328142970598238,72.43425478873414
RABEP1,hsa-mir-193a,-0.147430816,0.00630598,0.055881902,0.597086743,7.58E-05,0.029554355,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7254049519200154,1.085834622087721
MEAF6,hsa-mir-940,0.132258979,0.014377005,0.098787213,-0.564791763,0.000220736,0.056047575,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9651215748330346,4.4675406683064764
LPAR5,hsa-mir-488,-0.15136544,0.005029032,0.047578518,0.583249832,0.000121508,0.039453822,targetprofiler-Yes,targetscan-Yes,miRanda-NO,2.9030559345458244,1.5808064243934874
XYLT1,hsa-mir-205,-0.29615665,2.37E-08,2.46E-06,0.571866602,0.000176327,0.048990627,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0916207914450093,72.43425478873414
VWF,hsa-mir-708,-0.183081946,0.000668502,0.010795978,0.683119123,2.29E-06,0.003081686,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.11547591490827308,9.770166528938537
ZFP28,hsa-mir-1254,0.205259712,0.000131945,0.003117486,-0.537034237,0.000508351,0.089968507,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.6675704290377935,7.61120298515582
ACTR8,hsa-mir-195,0.134659979,0.012683174,0.090698454,-0.572000066,0.000175573,0.048863488,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.8288209144507115,0.3622438276226836
OSBPL10,hsa-mir-708,-0.185682193,0.000557783,0.009419302,0.575535555,0.00015662,0.045721707,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.8352766158358115,9.770166528938537
PRELP,hsa-mir-203,-0.187757508,0.000481893,0.008431677,0.630046872,2.25E-05,0.013624027,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.20004760170411579,5.046308123559928
GNA13,hsa-mir-223,-0.192631762,0.000339729,0.006467538,0.600167478,6.81E-05,0.028101555,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.1487387302277547,0.5403401358795024
SLC39A8,hsa-mir-200c,-0.240522745,6.86E-06,0.000294449,0.547191131,0.000377789,0.076123654,targetprofiler-Yes,targetscan-Yes,miRanda-Yes,0.06778950119121434,3.0111910760179184
SPTLC3,hsa-mir-33a,-0.165827717,0.002092409,0.025258697,0.555451592,0.00029467,0.066657683,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.2975400005596234,3.683971987062404
ROBO4,hsa-mir-205,-0.30046701,1.45E-08,1.60E-06,0.563942422,0.000226692,0.056993898,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.08621455061201627,72.43425478873414
PTGFRN,hsa-mir-3653,-0.135116149,0.012382029,0.08924402,0.536806698,0.000511688,0.090250783,targetprofiler-Yes,targetscan-Yes,miRanda-NO,5.117476407254009,2.953261801490435
XYLB,hsa-mir-151,0.170848957,0.001517426,0.019908059,-0.55561284,0.000293226,0.066510566,targetprofiler-NO,targetscan-Yes,miRanda-NO,3.965463020214838,1.3635969280173657
PRELP,hsa-mir-1293,-0.199676512,0.000201889,0.004328869,0.667308822,4.74E-06,0.004925896,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.20004760170411579,8.65669528876262
ALKBH4,hsa-mir-197,0.225998677,2.46E-05,0.000822447,-0.544419818,0.000410043,0.079931148,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.8163185369646495,1.7743874219583822
AP1G1,hsa-mir-181d,-0.167703234,0.001857682,0.023124876,0.535764593,0.000527222,0.091467568,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.9143330780985931,1.0375156947288784
DLL4,hsa-mir-140,0.205013656,0.000134474,0.003164299,-0.561842151,0.000242046,0.059325228,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.22057229030317824,0.38062564719046676
GNB4,hsa-mir-425,-0.148744221,0.005850618,0.052966665,0.533651252,0.000560021,0.094828171,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9185033787301892,1.8824645653821082
ABCA3,hsa-mir-200c,-0.193932981,0.000309011,0.00600788,0.545857211,0.000393019,0.078051367,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.08942416369058671,3.0111910760179184
HAVCR2,hsa-mir-301a,-0.273558117,2.76E-07,2.03E-05,0.563306483,0.000231246,0.057743557,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.3755748677403461,3.467134831932342
IRF4,hsa-mir-629,-0.158900969,0.00321312,0.03452331,0.530233021,0.000616934,0.099906475,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9348654651670509,2.217975514742635
SLC46A3,hsa-mir-1254,-0.204351717,0.000141505,0.003286833,0.556925471,0.000281699,0.065037702,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.371729908909365,7.61120298515582
LAMA2,hsa-mir-193b,-0.257916132,1.34E-06,7.67E-05,0.536089128,0.000522339,0.091063994,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.32947160678181336,4.694379270185694
KCND2,hsa-mir-3653,-0.156945864,0.003615861,0.037601699,0.604222426,5.89E-05,0.025757663,targetprofiler-NO,targetscan-Yes,miRanda-NO,4.24258729042712,2.953261801490435
NR1H3,hsa-mir-196b,-0.192238788,0.000349551,0.006612803,0.536003532,0.000523623,0.09114589,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.6449725863150897,46.74399117574376
COL4A1,hsa-mir-944,-0.22937803,1.84E-05,0.000652226,0.617781139,3.59E-05,0.018469951,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.753129598393457,105.97357228545195
VASH1,hsa-mir-30a,0.307769814,6.15E-09,7.61E-07,-0.609788465,4.82E-05,0.022482137,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.33632344936470715,0.15291803905123288
SHC1,hsa-mir-1248,-0.155145524,0.004026576,0.040621324,0.608985582,4.96E-05,0.02285767,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.7694703857672032,13.527790011336005
BGN,hsa-mir-1293,-0.173976274,0.00123672,0.017114373,0.586218706,0.000110011,0.036929114,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9394346021083979,8.65669528876262
PNPO,hsa-mir-136,-0.134520558,0.012776492,0.091162924,0.548460583,0.000363787,0.074547966,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.3101356644943873,2.025769031767277
VASH1,hsa-mir-708,-0.192520586,0.000342481,0.006509025,0.622580112,3.00E-05,0.016404034,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.33632344936470715,9.770166528938537
CDAN1,hsa-mir-222,0.17188238,0.001418783,0.018944818,-0.539725291,0.000470332,0.086824927,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.866241668368572,1.6730002546105138
NDST1,hsa-mir-224,-0.137816846,0.010724974,0.08093549,0.536833169,0.000511298,0.090202433,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.38469554858688443,9.290415864287
PXDN,hsa-mir-1468,0.179034709,0.000881908,0.013303479,-0.552587132,0.000321422,0.069774354,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.4736141179893671,0.8263359891355693
KALRN,hsa-mir-375,0.222321715,3.35E-05,0.001052856,-0.601285346,6.54E-05,0.027510219,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.6826799928558063,0.6273132257492268
TRDMT1,hsa-mir-758,0.244504212,4.77E-06,0.00021869,-0.577267907,0.000148023,0.044166242,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.5868215143952319,2.332895147984024
JARID2,hsa-mir-155,-0.147264168,0.006365972,0.056266273,0.595871875,7.91E-05,0.030299445,targetprofiler-NO,targetscan-Yes,miRanda-Yes,2.6317853962151943,1.5928227248722053
YTHDC1,hsa-mir-940,0.136563783,0.011467698,0.084688064,-0.576486246,0.000151848,0.044812742,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0506697413158053,4.4675406683064764
SLC29A3,hsa-mir-30a,0.180289785,0.000809806,0.012476078,-0.565091543,0.000218668,0.055793501,targetprofiler-Yes,targetscan-NO,miRanda-Yes,0.6941306289180543,0.15291803905123288
TBC1D2B,hsa-mir-195,0.25904237,1.20E-06,6.99E-05,-0.627154083,2.51E-05,0.014605635,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.5588161278802788,0.3622438276226836
SLAMF6,hsa-mir-629,-0.152792404,0.004626845,0.044831607,0.546976892,0.000380199,0.076474448,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.6858165995159456,2.217975514742635
SPTBN1,hsa-mir-203,-0.193317609,0.000323201,0.00621881,0.553868342,0.000309199,0.068482171,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.24972076251621136,5.046308123559928
SCML2,hsa-mir-21,-0.206021953,0.000124391,0.002977056,0.616421729,3.78E-05,0.019139653,targetprofiler-Yes,targetscan-Yes,miRanda-Yes,5.2785328972713925,1.9954549745548138
F2RL1,hsa-mir-1269,-0.180843498,0.000779761,0.012130962,0.585497189,0.000112711,0.037514149,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.991949016056217,106.13716093096417
CYBASC3,hsa-mir-195,0.185320329,0.0005721,0.009601564,-0.570595595,0.000183657,0.050234749,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.0116811597978221,0.3622438276226836
RAB3IP,hsa-mir-370,0.225258316,2.61E-05,0.000865137,-0.670287553,4.15E-06,0.004475844,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.0803332833595387,2.5601437362762516
TMOD3,hsa-mir-181d,-0.154886848,0.004088933,0.041065171,0.602332534,6.30E-05,0.026846684,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.7298297136359142,1.0375156947288784
FUCA2,hsa-mir-93,-0.165230627,0.002172636,0.025981144,0.570097645,0.000186603,0.050803915,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9915203669056991,2.8702020977423346
FOLR2,hsa-mir-196b,-0.203479268,0.0001513,0.003461141,0.624040353,2.83E-05,0.015912884,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.2893474071399194,46.74399117574376
FMNL3,hsa-mir-1293,-0.18242306,0.000699621,0.011180832,0.575019992,0.000159263,0.046276467,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.5504738470612971,8.65669528876262
MCAM,hsa-mir-1976,0.133985115,0.013140529,0.092910549,-0.53222647,0.000583148,0.097066749,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.42694315999002463,0.48956229921962463
BDKRB2,hsa-mir-1248,-0.149054406,0.00574748,0.052304137,0.626817768,2.55E-05,0.014714259,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9182510019206724,13.527790011336005
PNPO,hsa-mir-151,0.153470003,0.004446217,0.043581408,-0.580377577,0.000133652,0.041734997,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.3101356644943873,1.3635969280173657
RNASE6,hsa-mir-942,-0.227962725,2.08E-05,0.000718164,0.714492946,4.70E-07,0.001020166,targetprofiler-NO,targetscan-Yes,miRanda-Yes,0.4670521618174727,1.8653455786937305
SHANK2,hsa-mir-134,0.196583453,0.000254281,0.005170517,-0.574932447,0.000159716,0.046307597,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.4281695019528614,2.2361191647678784
HAVCR2,hsa-mir-940,-0.184807559,0.000592971,0.009869915,0.586771384,0.000107982,0.036498252,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.3755748677403461,4.4675406683064764
FAM105A,hsa-mir-217,0.240119049,7.12E-06,0.000303106,-0.532145424,0.000584489,0.097184311,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.1261719547252001,0.9826104114589447
FAM70B,hsa-mir-708,-0.242172764,5.90E-06,0.000260774,0.553149768,0.000316002,0.069226062,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.33089729074951385,9.770166528938537
CXorf36,hsa-mir-205,-0.353962594,1.57E-11,3.75E-09,0.657631281,7.25E-06,0.00658029,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.15412233547503315,72.43425478873414
CAMKK2,hsa-mir-412,-0.148244984,0.006020108,0.054063907,0.533170104,0.000567738,0.095642339,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9073260918381995,4.509047824568833
PKP1,hsa-mir-935,-0.142787366,0.008181269,0.067088503,0.561468046,0.000244877,0.059725403,targetprofiler-NO,targetscan-Yes,miRanda-NO,85.21645869742555,3.025857999403783
COL5A2,hsa-mir-3653,-0.214485512,6.37E-05,0.001757837,0.532440948,0.000579613,0.096807275,targetprofiler-NO,targetscan-Yes,miRanda-NO,3.4901620288681867,2.953261801490435
CACNA2D4,hsa-mir-185,-0.139830815,0.009620232,0.075035322,0.531702152,0.000591871,0.097593115,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.5982572132576038,1.053010105652339
RAB3IP,hsa-mir-432,0.62854776,0,0,-0.635823525,1.79E-05,0.011838411,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.0803332833595387,3.008848277433525
RAB3IP,hsa-mir-379,0.242505713,5.73E-06,0.000254275,-0.652155129,9.16E-06,0.007693432,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.0803332833595387,1.7006903649836385
NR5A2,hsa-mir-708,-0.241019532,6.56E-06,0.000284138,0.643322722,1.32E-05,0.009806295,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.17363027729186112,9.770166528938537
SERPINH1,hsa-mir-1248,-0.149862527,0.0054864,0.050623817,0.621797027,3.09E-05,0.016726438,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.133468202730596,13.527790011336005
